drug_name,drug_name_clean,medical_condition,medical_condition_clean,generic_name,drug_classes,input_text,input_text_clean,side_effects_clean,side_effects_count
tadalafil,tadalafil,Erectile Dysfunction,erectile dysfunction,tadalafil,"Agents for pulmonary hypertension, Impotence agents","tadalafil erectile dysfunction tadalafil agents for pulmonary hypertension, impotence agents",tadalafil erectile dysfunction tadalafil agent pulmonary hypertension impotence agent,"headache, flushing warmth, redness, tingly feeling, nausea, upset stomach, stuffy nose, muscle pain, back pain, pain in your arms, legs, back",12
Staxyn,staxyn,Erectile Dysfunction,erectile dysfunction,vardenafil,Impotence agents,staxyn erectile dysfunction vardenafil impotence agents,staxyn erectile dysfunction vardenafil impotence agent,"flushing warmth, redness, tingly feeling, stuffy nose, sinus pain, headache, dizziness, upset stomach, back pain",9
vardenafil,vardenafil,Erectile Dysfunction,erectile dysfunction,vardenafil,Impotence agents,vardenafil erectile dysfunction vardenafil impotence agents,vardenafil erectile dysfunction vardenafil impotence agent,"flushing warmth, redness, tingly feeling, stuffy nose, sinus pain, headache, dizziness, upset stomach, back pain",9
alprostadil,alprostadil,Erectile Dysfunction,erectile dysfunction,alprostadil (injectable and transurethral),"Impotence agents, Vasodilators","alprostadil erectile dysfunction alprostadil (injectable and transurethral) impotence agents, vasodilators",alprostadil erectile dysfunction alprostadil impotence agent vasodilator,"mild pain in your penis, urethra, testicles, redness of the penis, warmth, burning in your urethra",6
Edex,edex,Erectile Dysfunction,erectile dysfunction,alprostadil,"Impotence agents, Vasodilators","edex erectile dysfunction alprostadil impotence agents, vasodilators",edex erectile dysfunction alprostadil impotence agent vasodilator,"swelling, bleeding, bruising",3
Stendra,stendra,Erectile Dysfunction,erectile dysfunction,avanafil,Impotence agents,stendra erectile dysfunction avanafil impotence agents,stendra erectile dysfunction avanafil impotence agent,"headache, flushing warmth, redness, tingly feeling, cold symptoms such as runny, stuffy nose, sore throat, back pain",8
Caverject,caverject,Erectile Dysfunction,erectile dysfunction,alprostadil,"Impotence agents, Vasodilators","caverject erectile dysfunction alprostadil impotence agents, vasodilators",caverject erectile dysfunction alprostadil impotence agent vasodilator,"swelling, bleeding, bruising",3
Muse,muse,Erectile Dysfunction,erectile dysfunction,alprostadil,"Impotence agents, Vasodilators","muse erectile dysfunction alprostadil impotence agents, vasodilators",muse erectile dysfunction alprostadil impotence agent vasodilator,"nausea, vomiting, diarrhea, headache, dizziness, fever, cough, joint pain, swelling, bleeding, back pain, confusion, blurred vision",13
avanafil,avanafil,Erectile Dysfunction,erectile dysfunction,avanafil,Impotence agents,avanafil erectile dysfunction avanafil impotence agents,avanafil erectile dysfunction avanafil impotence agent,"headache, flushing warmth, redness, tingly feeling, cold symptoms such as runny, stuffy nose, sore throat, back pain",8
Entereg,entereg,Gastrointestinal,gastrointestinal,alvimopan,Peripheral opioid receptor antagonists,entereg gastrointestinal alvimopan peripheral opioid receptor antagonists,entereg gastrointestinal alvimopan peripheral opioid receptor antagonist,indigestion,1
Lidocaine Viscous,lidocaine viscous,Gastrointestinal,gastrointestinal,lidocaine viscous,Topical anesthetics,lidocaine viscous gastrointestinal lidocaine viscous topical anesthetics,lidocaine viscous gastrointestinal lidocaine viscous topical anesthetic,"vomiting, drowsiness, swelling, depression, confusion, blurred vision",6
alvimopan,alvimopan,Gastrointestinal,gastrointestinal,alvimopan,Peripheral opioid receptor antagonists,alvimopan gastrointestinal alvimopan peripheral opioid receptor antagonists,alvimopan gastrointestinal alvimopan peripheral opioid receptor antagonist,indigestion,1
lidocaine,lidocaine,Gastrointestinal,gastrointestinal,lidocaine topical,Topical anesthetics,lidocaine gastrointestinal lidocaine topical topical anesthetics,lidocaine gastrointestinal lidocaine topical topical anesthetic,mild irritation where the medication is applied,1
Glydo,glydo,Gastrointestinal,gastrointestinal,lidocaine topical,Topical anesthetics,glydo gastrointestinal lidocaine topical topical anesthetics,glydo gastrointestinal lidocaine topical topical anesthetic,mild irritation where the medication is applied,1
Xylocaine Jelly,xylocaine jelly,Gastrointestinal,gastrointestinal,Lidocaine Gel,Topical anesthetics,xylocaine jelly gastrointestinal lidocaine gel topical anesthetics,xylocaine jelly gastrointestinal lidocaine gel topical anesthetic,"headache, dizziness, rash, itching, fever, cough, stomach pain, swelling, chest pain, confusion",10
LTA II Kit,lta ii kit,Gastrointestinal,gastrointestinal,lidocaine viscous,Topical anesthetics,lta ii kit gastrointestinal lidocaine viscous topical anesthetics,lta ii kit gastrointestinal lidocaine viscous topical anesthetic,"vomiting, drowsiness, swelling, depression, confusion, blurred vision",6
omeprazole,omeprazole,GERD (Heartburn),gerd (heartburn),omeprazole,Proton pump inhibitors,omeprazole gerd (heartburn) omeprazole proton pump inhibitors,omeprazole gerd omeprazole proton pump inhibitor,"cold symptoms such as stuffy nose, sneezing, sore throat, fever, stomach pain, gas, nausea, vomiting, diarrhea, headache",10
pantoprazole,pantoprazole,GERD (Heartburn),gerd (heartburn),pantoprazole (oral/injection),Proton pump inhibitors,pantoprazole gerd (heartburn) pantoprazole (oral/injection) proton pump inhibitors,pantoprazole gerd pantoprazole proton pump inhibitor,"headache, dizziness, stomach pain, gas, nausea, vomiting, diarrhea, joint pain, fever, rash, cold symptoms",11
Nexium,nexium,GERD (Heartburn),gerd (heartburn),esomeprazole magnesium (oral),Proton pump inhibitors,nexium gerd (heartburn) esomeprazole magnesium (oral) proton pump inhibitors,nexium gerd esomeprazole magnesium proton pump inhibitor,"headache, diarrhea, nausea, stomach pain, gas, constipation, dry mouth",7
famotidine,famotidine,GERD (Heartburn),gerd (heartburn),famotidine,H2 antagonists,famotidine gerd (heartburn) famotidine h2 antagonists,famotidine gerd famotidine h2 antagonist,"headache, dizziness, constipation, diarrhea",4
Protonix,protonix,GERD (Heartburn),gerd (heartburn),pantoprazole (oral/injection),Proton pump inhibitors,protonix gerd (heartburn) pantoprazole (oral/injection) proton pump inhibitors,protonix gerd pantoprazole proton pump inhibitor,"headache, dizziness, stomach pain, gas, nausea, vomiting, diarrhea, joint pain, fever, rash, cold symptoms",11
Prilosec,prilosec,GERD (Heartburn),gerd (heartburn),omeprazole,Proton pump inhibitors,prilosec gerd (heartburn) omeprazole proton pump inhibitors,prilosec gerd omeprazole proton pump inhibitor,"cold symptoms such as stuffy nose, sneezing, sore throat, fever, stomach pain, gas, nausea, vomiting, diarrhea, headache",10
Dexilant,dexilant,GERD (Heartburn),gerd (heartburn),dexlansoprazole,Proton pump inhibitors,dexilant gerd (heartburn) dexlansoprazole proton pump inhibitors,dexilant gerd dexlansoprazole proton pump inhibitor,"nausea, vomiting, stomach pain, gas, diarrhea, headache, mouth pain, sore throat, stuffy nose, sinus pain, other cold symptoms",11
Aciphex,aciphex,GERD (Heartburn),gerd (heartburn),rabeprazole,Proton pump inhibitors,aciphex gerd (heartburn) rabeprazole proton pump inhibitors,aciphex gerd rabeprazole proton pump inhibitor,"infection, pain, sore throat, headache, nausea, vomiting, gas, diarrhea, constipation, stomach pain",10
Prilosec OTC,prilosec otc,GERD (Heartburn),gerd (heartburn),omeprazole,Proton pump inhibitors,prilosec otc gerd (heartburn) omeprazole proton pump inhibitors,prilosec otc gerd omeprazole proton pump inhibitor,"nausea, vomiting, diarrhea, headache, dizziness, rash, weight gain, fever, cough, stomach pain, joint pain, swelling, skin rash",13
esomeprazole,esomeprazole,GERD (Heartburn),gerd (heartburn),esomeprazole (oral),Proton pump inhibitors,esomeprazole gerd (heartburn) esomeprazole (oral) proton pump inhibitors,esomeprazole gerd esomeprazole proton pump inhibitor,"headache, diarrhea, nausea, stomach pain, gas, constipation, dry mouth",7
lansoprazole,lansoprazole,GERD (Heartburn),gerd (heartburn),lansoprazole,Proton pump inhibitors,lansoprazole gerd (heartburn) lansoprazole proton pump inhibitors,lansoprazole gerd lansoprazole proton pump inhibitor,"nausea, stomach pain, diarrhea, constipation, headache",5
Prevacid,prevacid,GERD (Heartburn),gerd (heartburn),lansoprazole,Proton pump inhibitors,prevacid gerd (heartburn) lansoprazole proton pump inhibitors,prevacid gerd lansoprazole proton pump inhibitor,"nausea, stomach pain, diarrhea, constipation, headache",5
Pepcid,pepcid,GERD (Heartburn),gerd (heartburn),famotidine,H2 antagonists,pepcid gerd (heartburn) famotidine h2 antagonists,pepcid gerd famotidine h2 antagonist,"headache, dizziness, constipation, diarrhea",4
rabeprazole,rabeprazole,GERD (Heartburn),gerd (heartburn),rabeprazole,Proton pump inhibitors,rabeprazole gerd (heartburn) rabeprazole proton pump inhibitors,rabeprazole gerd rabeprazole proton pump inhibitor,"infection, pain, sore throat, headache, nausea, vomiting, gas, diarrhea, constipation, stomach pain",10
sucralfate,sucralfate,GERD (Heartburn),gerd (heartburn),sucralfate (oral),Miscellaneous GI agents,sucralfate gerd (heartburn) sucralfate (oral) miscellaneous gi agents,sucralfate gerd sucralfate miscellaneous gi agent,"constipation, diarrhea, nausea, vomiting, gas, indigestion, itching, rash, dizziness, drowsiness, sleep problems, headache, back pain",13
Pepcid AC,pepcid ac,GERD (Heartburn),gerd (heartburn),famotidine (oral route),H2 antagonists,pepcid ac gerd (heartburn) famotidine (oral route) h2 antagonists,pepcid ac gerd famotidine h2 antagonist,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, dry mouth, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, appetite loss, anxiety",20
Carafate,carafate,GERD (Heartburn),gerd (heartburn),sucralfate (oral),Miscellaneous GI agents,carafate gerd (heartburn) sucralfate (oral) miscellaneous gi agents,carafate gerd sucralfate miscellaneous gi agent,"constipation, diarrhea, nausea, vomiting, gas, indigestion, itching, rash, dizziness, drowsiness, sleep problems, headache, back pain",13
Nexium 24HR,nexium 24hr,GERD (Heartburn),gerd (heartburn),Esomeprazole Delayed-Release Tablets,Proton pump inhibitors,nexium 24hr gerd (heartburn) esomeprazole delayed-release tablets proton pump inhibitors,nexium 24hr gerd esomeprazole delayed-release tablet proton pump inhibitor,"diarrhea, dizziness, rash, itching, weight gain, weight loss, fever, stomach pain, muscle pain, swelling",10
Protonix IV,protonix iv,GERD (Heartburn),gerd (heartburn),pantoprazole (intravenous route),Proton pump inhibitors,protonix iv gerd (heartburn) pantoprazole (intravenous route) proton pump inhibitors,protonix iv gerd pantoprazole proton pump inhibitor,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, constipation, dry mouth, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, chest pain, confusion, blurred vision",20
cimetidine,cimetidine,GERD (Heartburn),gerd (heartburn),cimetidine,H2 antagonists,cimetidine gerd (heartburn) cimetidine h2 antagonists,cimetidine gerd cimetidine h2 antagonist,"headache, diarrhea",2
dexlansoprazole,dexlansoprazole,GERD (Heartburn),gerd (heartburn),dexlansoprazole,Proton pump inhibitors,dexlansoprazole gerd (heartburn) dexlansoprazole proton pump inhibitors,dexlansoprazole gerd dexlansoprazole proton pump inhibitor,"nausea, vomiting, stomach pain, gas, diarrhea, headache, mouth pain, sore throat, stuffy nose, sinus pain, other cold symptoms",11
Heartburn Relief,heartburn relief,GERD (Heartburn),gerd (heartburn),famotidine (oral route),H2 antagonists,heartburn relief gerd (heartburn) famotidine (oral route) h2 antagonists,heartburn relief gerd famotidine h2 antagonist,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, dry mouth, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, appetite loss, anxiety",20
